Game Type,Home,Away,Game,Team,Squad,Number,ACTION,Danger,Notes,Contested/Uncontested Chance,Period,Strength,,Team Totals All Situations: VAUGHAN KINGS,,,
GTHL All Star Game,Team Blue,Team Red,Team Blue vs. Team Red,Team Blue,B,17,D,,,,3,6ON5,,,,,
GTHL All Star Game,Team Blue,Team Red,Team Blue vs. Team Red,Team Red,R,3,D,,,,3,6ON5,,,,,
GTHL All Star Game,Team Blue,Team Red,Team Blue vs. Team Red,Team Red,R,18,CE,,,,3,6ON5,,,,,
GTHL All Star Game,Team Blue,Team Red,Team Blue vs. Team Red,Team Red,R,18,P,HD,,,3,6ON5,,,,,
GTHL All Star Game,Team Blue,Team Red,Team Blue vs. Team Red,Team Red,R,16,S,HD,,U,3,6ON5,,,,,
GTHL All Star Game,Team Blue,Team Red,Team Blue vs. Team Red,Team Blue,B,8,ENGOAL,,,,3,6ON5,,,,,
GTHL All Star Game,Team Blue,Team Red,Team Blue vs. Team Red,Team Blue,B,14,D,,,,3,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,17,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,6,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,15,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,98,P,HD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,86,S,LD,NO REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,21,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,34,P,MD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,19,S,MD,,C,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,88,B,LD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,19,UCE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,88,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,7,ASSIST,HD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,88,GOAL,HD,,U,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,44,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,44,S,LD,NO REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,22,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,22,GOAL,MD,,U,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,10,P,HD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,22,M,HD,,C,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,14,UCE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,14,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,17,PE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,88,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,88,S,LD,NO REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,88,M,LD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,86,B,LD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,86,B,LD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,98,UCE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,7,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,7,GOAL,LD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,7,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,7,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,7,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,8,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,10,PE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,6,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,10,S,LD,REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,14,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,14,B,LD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,8,S,MD,,C,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,55,S,LD,NO REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,14,S,LD,REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,21,S,LD,REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,8,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,98,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,9,P,MD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,7,S,MD,,C,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,7,S,LD,NO REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,17,PE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,10,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,34,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,88,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,44,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,8,S,LD,REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,88,S,LD,NO REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,8,P,HD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,7,B,HD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,17,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,16,UCE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,22,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,22,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,7,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,7,S,LD,NO REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,48,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,44,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,98,POST,LD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,55,B,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,17,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,17,P,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,,S,LD,NO REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,19,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,19,B,LD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,7,UCE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,34,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,34,B,LD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,6,D,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,8,CE,,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,8,B,MD,,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,17,S,LD,NO REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,17,S,LD,NO REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,8,S,LD,NO REB,,1,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,15,D,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,8,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,7,B,LD,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,8,M,LD,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,86,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,98,P,MD,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,15,S,MD,,C,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,98,S,LD,NO REB,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,7,P,MD,,,2,PP,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,55,M,MD,,C,2,PP,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,19,P,HD,,,2,PP,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,55,S,HD,,U,2,PP,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,10,B,LD,,,2,PP,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,10,S,MD,,C,2,PP,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,8,GOAL,HD,,U,2,PP,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,21,S,LD,NO REB,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,8,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,8,S,LD,NO REB,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,57,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,15,D,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,34,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,64,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,64,S,LD,REB,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,19,P,HD,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,10,S,HD,,U,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,8,PE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,44,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,86,P,HD,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,15,M,HD,FLUB,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,22,UCE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,10,ASSIST,HD,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,7,GOAL,HD,BWAY,U,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,17,D,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,22,UCE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,17,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,17,M,LD,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,8,D,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,34,PE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,10,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,7,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,44,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,44,S,LD,REB,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,21,B,LD,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,8,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,8,B,LD,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,44,S,LD,REB,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,22,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,22,P,HD,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,10,S,HD,,U,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,98,D,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,17,B,LD,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,17,S,LD,NO REB,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,17,PE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,15,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,15,S,LD,NO REB,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,88,D,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,22,ASSIST,MD,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,6,GOAL,MD,,C,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,10,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,7,CE,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,17,D,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,17,S,LD,REB,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,17,D,,,,2,EV,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,88,P,HD,,,2,PK,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,9,B,HD,,,2,PK,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,22,CE,,,,2,PK,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,88,,LD,,,2,PK,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Mississauga Senators,S,88,CE,,,,2,PK,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,19,P,HD,,,2,PK,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,98,M,HD,,C,2,PK,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,19,M,MD,,,2,PK,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,7,P,HD,,,3,PP,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,10,S,HD,,C,3,PP,,,,,
GTHL Regular Season,Toronto Marlboros,Mississauga Senators,Toronto Marlboros vs. Mississauga Senators Jan. 9,Toronto Marlboros,M,14,UCE,,,,3,PP,,,,,
